open,volume,money,DKX,OSC,MAUDL,CHO,MACHO,AMO1,AMO2
6403.25,8279805500.0,108425432304.0,6227.117539682541,21376.20000000015,6214.02555555556,1011835.513003106,1093035.270116322,12634694.2982552,12468757.213675201
6343.7,8040047200.0,106856003924.0,6240.021333333332,9401.500000000033,6237.641909722231,1036633.079758619,1062203.783881233,12571721.94618,12468757.213675201
6314.58,6943866700.0,94250908350.0,6252.755579365079,11060.75000000001,6257.110659722228,981616.5872087777,1041955.214349438,12083317.62542,12468757.213675201
6331.87,10902949096.000002,131981653911.20003,6244.833047619046,-17274.84999999988,6265.384298611119,756734.6676481208,985805.8777280062,11738811.352,12468757.213675201
6000.3,8480859200.0,106421755467.0,6225.950825396827,-21686.39999999987,6258.528840277783,637478.3796925857,907090.2794288235,11344214.3917,12339243.11046
5930.53,6232381100.0,80109649141.0,6205.821658730158,-17586.90000000015,6238.125333333338,464835.3258797256,814855.5921984874,10777898.72844,11967604.54097
5997.21,5703433300.0,73555799591.0,6185.218079365078,-20414.15000000015,6207.110243055554,293082.7398448093,695063.4633387714,10111894.64178,11341808.29398
5971.81,5605530500.0,73373212045.0,6170.284658730158,-13590.10000000017,6173.857104166669,95373.95216766745,538186.9420736172,9694340.71568,10888829.17055
6051.44,6073158100.0,80741694223.0,6154.959015873016,-17071.25000000024,6139.778631944442,-114005.0941758342,355583.3285095099,8284042.209340001,10011426.78067
6014.13,6043070100.0,79015956809.0,6136.066007936509,-18972.4000000002,6113.092083333337,-309938.7120703999,177804.4318897602,7735926.23618,9540070.313939998
5963.91,4970418800.0,66777694275.0,6117.85926190476,-18595.30000000022,6092.616277777784,-524075.1403268054,-15787.82144680433,7469287.13886,9123592.93365
5991.83,7583105900.0,103426188795.0,6110.708015873016,-623.9000000002306,6083.330805555561,-630283.3341486473,-199090.7931899129,8066694.922940001,9089294.782359999
6144.57,7455574000.0,105223343953.0,6110.712428571428,193.0999999997766,6081.447715277776,-630283.3341486473,-362976.5157053326,8703697.5611,9199019.13839
6159.73,6455896700.0,91831346308.0,6112.943412698414,4195.14999999974,6086.624083333336,-480615.8287512949,-458974.8125251578,8925490.6028,8604766.406069998
6208.44,9805691800.0,130809579270.0,6102.456928571429,-18700.45000000027,6089.242361111116,-358961.5946757682,-499800.8959418143,9961363.05202,8848644.6441
5910.12,7823338100.0,96969986068.0,6067.507571428572,-38359.00000000056,6083.612486111114,-314999.8337909933,-500644.4162285812,10565208.88788,9017248.013370002
5728.11,5265774500.0,66883087275.0,6030.423579365081,-36007.00000000025,6068.859902777782,-277643.5432955492,-459572.4833900365,9834346.85748,8950520.89021
5770.35,5801112600.0,76234410712.0,5995.382174603175,-34909.20000000024,6041.343444444449,-294221.4850607412,-402778.9801370035,9254568.19266,8979132.876880001
5647.07,5821581400.0,74358072552.0,5958.183166666667,-31515.35000000022,6004.416645833337,-252403.6359815449,-329807.6535926457,8905102.71754,8915296.66017
5708.63,5307673600.0,70802834355.0,5927.241936507937,-29292.65000000014,5957.408201388894,-220650.5220837248,-286480.1024813891,7704967.819240001,8833165.43563
5692.61,5796089800.0,76918597408.0,5904.453793650793,-16610.60000000043,5913.995875000004,-149021.9409142318,-251490.1601877965,7303940.04604,8934574.466959998
5814.1,6526013800.0,88432065961.0,5886.763753968251,-16376.30000000045,5879.241055555561,-223959.4510445502,-236316.7630633899,7734919.619760001,8784633.23862
5743.03,6370485600.0,79484187005.0,5859.249166666666,-28906.10000000024,5851.111638888894,-299993.6937525475,-240041.7881395569,7799915.145620001,8527241.66914
5628.73,5643894000.0,76915663735.0,5834.181952380952,-23574.70000000048,5826.957458333333,-524581.1422113158,-278435.0643313194,7851066.96928,8378084.84341
5619.94,5593607600.0,76729349144.0,5813.725563492065,-15768.80000000037,5807.425687499999,-540079.9366200946,-326381.1144377438,7969597.26506,7837282.54215
5752.15,6277779200.0,85829084667.0,5804.605333333333,-7101.600000000326,5795.182277777777,-423383.2446361705,-360169.9015298188,8147807.010240001,7725873.528139999
5800.0,5795641600.0,76372608104.0,5792.734269841269,-12557.10000000017,5783.236444444446,-302595.6542039572,-385765.5204114394,7906617.8531,7820768.73643
5780.27,5330295600.0,74090916117.0,5780.599198412699,-13699.15000000019,5772.297340277782,-146244.7504465129,-372813.0703117657,7798752.43534,7799333.79048
