,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
1423,CN,中天精装,SZ002989,16.26,0.11,0.68,-2.19,3353050.0,54049593.5,2.04,47.845,3.69,2954407382.0
1424,CN,豪美新材,SZ002988,23.36,0.62,2.73,74.98,5466662.0,126565899.04,2.24,,0.899,5701903459.0
1425,CN,京北方,SZ002987,17.88,0.3,1.71,-5.58,4414452.0,78497357.64,1.03,23.381,0.397,7890043005.0
1426,CN,宇新股份,SZ002986,15.5,0.36,2.38,1.68,1461849.0,22518847.42,0.63,10.404,2.297,4965098880.0
1427,CN,北摩高科,SZ002985,32.99,-0.38,-1.14,-26.85,1607344.0,53015988.95,0.77,32.5,0.467,10947850264.0
1428,CN,森麒麟,SZ002984,28.3,-0.13,-0.46,-8.09,2856022.0,80434780.8,0.69,18.595,0.523,21054698071.0
1429,CN,芯瑞达,SZ002983,29.49,0.85,2.97,72.9,1730510.0,50758148.06,1.63,35.151,0.841,5479477920.0
1430,CN,湘佳股份,SZ002982,21.3,0.43,2.06,-30.28,2144540.0,45089438.1,2.32,,0.671,3038116043.0
1431,CN,朝阳科技,SZ002981,37.08,1.64,4.63,26.35,8771190.0,326045094.3,10.35,37.738,0.405,3559680000.0
1432,CN,华盛昌,SZ002980,26.09,0.07,0.27,-26.38,479400.0,12512160.0,0.67,38.111,1.878,3557499341.0
1433,CN,雷赛智能,SZ002979,20.03,0.05,0.25,-10.14,4800160.0,96145790.45,2.23,59.923,1.498,6195102736.0
1434,CN,安宁股份,SZ002978,31.0,0.42,1.37,-4.19,1142000.0,35127840.0,0.38,13.286,3.226,12431000000.0
1435,CN,天箭科技,SZ002977,35.1,0.52,1.5,15.39,3676820.0,129589635.12,5.63,80.89,0.476,4216212000.0
1436,CN,瑞玛精密,SZ002976,29.65,1.4,4.96,31.02,2604120.0,76029021.8,4.02,55.9,,3577337730.0
1437,CN,博杰股份,SZ002975,35.96,1.08,3.1,13.55,3208249.0,112823808.92,4.49,145.628,0.976,5002902420.0
1438,CN,侨银股份,SZ002973,10.76,0.11,1.03,1.75,1363800.0,14631491.0,0.67,11.828,0.929,4397234894.0
1439,CN,科安达,SZ002972,12.81,-0.27,-2.06,13.63,10485120.0,133092790.0,8.48,43.187,3.357,3151372728.0
1440,CN,和远气体,SZ002971,25.76,0.46,1.82,42.4,1657300.0,42417263.0,1.33,48.119,0.388,4121600000.0
1441,CN,锐明技术,SZ002970,29.64,0.25,0.85,54.51,1140500.0,33853959.0,1.25,265.217,0.675,5124637440.0
1442,CN,嘉美包装,SZ002969,3.97,0.04,1.02,-4.99,6389700.0,25190298.0,1.11,50.684,0.277,3807733634.0
1443,CN,新大正,SZ002968,12.12,0.14,1.17,-43.37,2336180.0,28148941.7,1.09,16.84,2.475,2760447358.0
1444,CN,广电计量,SZ002967,14.37,0.09,0.63,-13.73,2640177.0,37651362.24,0.51,34.21,1.044,8265995407.0
1445,CN,苏州银行,SZ002966,6.49,-0.03,-0.46,-12.49,26325938.0,170668318.46,0.74,5.195,5.085,23797131217.0
1446,CN,祥鑫科技,SZ002965,40.08,0.46,1.16,-30.57,2343502.0,93207026.28,1.86,19.519,1.088,7144261523.0
1447,CN,豪尔赛,SZ002963,14.9,0.15,1.02,8.36,1058300.0,15681887.3,0.86,,,2240362957.0
1448,CN,五方光电,SZ002962,19.4,0.6,3.19,93.17,72657854.0,1398525868.09,34.73,81.41,1.031,5682935760.0
1449,CN,瑞达期货,SZ002961,14.45,0.18,1.26,10.06,2298000.0,33088967.0,0.52,27.282,1.522,6430675524.0
1450,CN,青鸟消防,SZ002960,13.22,-0.13,-0.97,-37.78,4696157.0,61997854.6,0.74,14.805,1.74,9756506689.0
1451,CN,小熊电器,SZ002959,46.99,0.19,0.41,-21.35,734316.0,34356779.48,0.47,15.974,1.698,7371057498.0
